node_type_id dynamics_params location pop_name model_processing morphology ei population model_type model_template
480169178 480169178_fit.json VisL5 e5noRbp4 aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-197353.06.02.01_496079587_m.swc e v1 biophysical ctdb:Biophys1.hoc
480351780 480351780_fit.json VisL5 e5noRbp4 aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e v1 biophysical ctdb:Biophys1.hoc
480353286 480353286_fit.json VisL5 e5noRbp4 aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-197851.05.02.01_492413372_m.swc e v1 biophysical ctdb:Biophys1.hoc
100000109 i5Htr3a_avg_lif.json VisL5 LIFi5Htr3a   i v1 point_process nrn:IntFire1
478110866 478110866_fit.json VisL5 i5Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-192821.05.01.01_491771409_m.swc i v1 biophysical ctdb:Biophys1.hoc
481001895 481001895_fit.json VisL5 i5Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc i v1 biophysical ctdb:Biophys1.hoc
481136138 481136138_fit.json VisL5 i5Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-200434.06.02.01_513556274_m.swc i v1 biophysical ctdb:Biophys1.hoc
482644550 482644550_fit.json VisL5 i5Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-200442.05.02.01_495337161_m.swc i v1 biophysical ctdb:Biophys1.hoc
100000111 i5Pvalb_avg_lif.json VisL5 LIFi5Pvalb   i v1 point_process nrn:IntFire1
313861608 313861608_fit.json VisL5 i5Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-165874.04.02.01_491119570_m.swc i v1 biophysical ctdb:Biophys1.hoc
321023397 321023397_fit.json VisL5 i5Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-171555.06.01.01_496722847_m.swc i v1 biophysical ctdb:Biophys1.hoc
333785962 333785962_fit.json VisL5 i5Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-176852.05.02.01_513557613_m.swc i v1 biophysical ctdb:Biophys1.hoc
396608557 396608557_fit.json VisL5 i5Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-177452.03.02.01_491119336_m.swc i v1 biophysical ctdb:Biophys1.hoc
469610831 469610831_fit.json VisL5 i5Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-177452.03.01.01_491120251_m.swc i v1 biophysical ctdb:Biophys1.hoc
471077857 471077857_fit.json VisL5 i5Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-180633.05.01.01_491119234_m.swc i v1 biophysical ctdb:Biophys1.hoc
471085676 471085676_fit.json VisL5 i5Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-180633.04.01.01_491771159_m.swc i v1 biophysical ctdb:Biophys1.hoc
478793814 478793814_fit.json VisL5 i5Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-195045.05.02.01_491119688_m.swc i v1 biophysical ctdb:Biophys1.hoc
486783119 486783119_fit.json VisL5 i5Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i v1 biophysical ctdb:Biophys1.hoc
100000118 i5Sst_avg_lif.json VisL5 LIFi5Sst   i v1 point_process nrn:IntFire1
323475862 323475862_fit.json VisL5 i5Sst aibs_perisomatic Sst-IRES-Cre_Ai14-172534.06.01.01_491770330_m.swc i v1 biophysical ctdb:Biophys1.hoc
464198958 464198958_fit.json VisL5 i5Sst aibs_perisomatic Sst-IRES-Cre_Ai14-165865.03.01.01_491119181_m.swc i v1 biophysical ctdb:Biophys1.hoc
475517090 475517090_fit.json VisL5 i5Sst aibs_perisomatic Sst-IRES-Cre_Ai14-184927.03.02.01_492100832_m.swc i v1 biophysical ctdb:Biophys1.hoc
478396248 478396248_fit.json VisL5 i5Sst aibs_perisomatic Sst-IRES-Cre_Ai14-192340.03.01.01_491119721_m.swc i v1 biophysical ctdb:Biophys1.hoc
482690728 482690728_fit.json VisL5 i5Sst aibs_perisomatic Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i v1 biophysical ctdb:Biophys1.hoc
100000121 e6Ntsr1_avg_lif.json VisL6 LIFe6Ntsr1   e v1 point_process nrn:IntFire1
466632464 466632464_fit.json VisL6 e6Ntsr1 aibs_perisomatic Ntsr1-Cre_Ai14-171080.04.02.01_492413307_m.swc e v1 biophysical ctdb:Biophys1.hoc
471410185 471410185_fit.json VisL6 e6Ntsr1 aibs_perisomatic Ntsr1-Cre_Ai14-180761.02.01.01_491459160_m.swc e v1 biophysical ctdb:Biophys1.hoc
471786879 471786879_fit.json VisL6 e6Ntsr1 aibs_perisomatic Ntsr1-Cre_Ai14-181184.05.02.01_491392868_m.swc e v1 biophysical ctdb:Biophys1.hoc
471789504 471789504_fit.json VisL6 e6Ntsr1 aibs_perisomatic Ntsr1-Cre_Ai14-181184.05.01.01_492413318_m.swc e v1 biophysical ctdb:Biophys1.hoc
471819401 471819401_fit.json VisL6 e6Ntsr1 aibs_perisomatic Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e v1 biophysical ctdb:Biophys1.hoc
100000106 i6Htr3a_avg_lif.json VisL6 LIFi6Htr3a   i v1 point_process nrn:IntFire1
581001895 481001895_fit.json VisL6 i6Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc i v1 biophysical ctdb:Biophys1.hoc
581136138 481136138_fit.json VisL6 i6Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-200434.06.02.01_513556274_m.swc i v1 biophysical ctdb:Biophys1.hoc
100000103 i6Pvalb_avg_lif.json VisL6 LIFi6Pvalb   i v1 point_process nrn:IntFire1
321708130 321708130_fit.json VisL6 i6Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-172101.05.02.01_491119710_m.swc i v1 biophysical ctdb:Biophys1.hoc
471087830 471087830_fit.json VisL6 i6Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-180634.04.01.01_495335480_m.swc i v1 biophysical ctdb:Biophys1.hoc
478058328 478058328_fit.json VisL6 i6Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-191322.04.02.01_491119269_m.swc i v1 biophysical ctdb:Biophys1.hoc
478828646 478828646_fit.json VisL6 i6Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-195049.06.01.01_491119604_m.swc i v1 biophysical ctdb:Biophys1.hoc
100000120 i6Sst_avg_lif.json VisL6 LIFi6Sst   i v1 point_process nrn:IntFire1
313862306 313862306_fit.json VisL6 i6Sst aibs_perisomatic Sst-IRES-Cre_Ai14-167636.04.01.01_491119515_m.swc i v1 biophysical ctdb:Biophys1.hoc
473564515 473564515_fit.json VisL6 i6Sst aibs_perisomatic Sst-IRES-Cre_Ai14-182533.05.01.01_491770886_m.swc i v1 biophysical ctdb:Biophys1.hoc
476104386 476104386_fit.json VisL6 i6Sst aibs_perisomatic Sst-IRES-Cre_Ai14-187427.04.01.01_491119894_m.swc i v1 biophysical ctdb:Biophys1.hoc
476754635 476754635_fit.json VisL6 i6Sst aibs_perisomatic Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i v1 biophysical ctdb:Biophys1.hoc
